nro_votacion;tipo;tema;factor_de_mayoria;respecto
1;ratificacion;Ratificacion Resoluciones 003 a 017 P CD 26;;presentes
2;ratificacion;Aprobacion Actas 1039 1040 1041;;presentes
1;mocion;Hora de Preferencia;;presentes
1;Despacho OP;Expte 072 25 Cozzi excepcion CPU Circ 1 Sec 10 Mza 121 Parc 17 rechazo;;presentes
2;Despacho OP;Expte 185 19 Contín excepcion CPU Circ 3 Sec 5 Mza 15 Parc 2 rechazo;;presentes
3;Despacho OP;Expte 256 25 Pavimento Fernando Beriain utilidad pública;;presentes
4;Despacho OP;Expte 167 22 Pavimento Martinengo utilidad pública;;presentes
5;Despacho OP;Expte 269 25 Pavimento Perito Moreno utilidad pública;;presentes
6;Despacho OP;Expte 266 25 Pavimento Tomás Espora utilidad pública;;presentes
7;Despacho OP;Expte 016 14 Ratificacion convenio Fiorasi Corradi SA;;presentes
8;Despacho OP;Expte 60 25 Ratificacion contratos Fray Luis Beltrán Azcuénaga Dorrego;;presentes
9;Despacho OP;Expte 07 22 Ratificacion contratos Pasaje Payro;;presentes
10;Despacho OP;Expte 288 25 Pavimento Fray Luis Beltrán Azcuénaga JJ Paso utilidad pública;;presentes
11;Despacho OP;Expte 234 25 Pavimento Azcuénaga Marcos Zar San Martín utilidad pública;;presentes
12;Despacho OP;Expte 265 25 Pavimento Mitre Berutti JJ Paso utilidad pública;;presentes
13;Despacho OP;Expte 024 91 Baja reserva taxis La Nueva Patagonia Circ 1 Sec 8 Mza 58 Parc 22;;presentes
14;Despacho OP;Expte 09 26 Pereyra excepcion CPU Circ 1 Sec 8 Mza 50 Parc 13 rechazo;;presentes
15;Despacho OP;Expte 058 88 Pavimento Buenos Aires Gales España utilidad pública;;presentes
16;Despacho OP;Expte 058 88 Ratificacion contratos calle La Plata Gales España;;presentes
17;Despacho OP;Expte 273 25 Pavimento Fournier Bouchard Colon utilidad pública;;presentes
18;Despacho OP;Expte 261 25 Pavimento Fray Luis Beltrán Triunvirato Corbetto utilidad pública;;presentes
