nro_votacion,tipo,tema,factor_de_mayoria,respecto
"1","Despacho","Aprobación del acta de la sesión anterior, lectura y consideración","","Presentes"
"2","Despacho","Declaración de interés municipal, jornada de salud comunitaria en barrios","","Presentes"
"3","Despacho","Pedido de informes, estado del alumbrado público en Barrio Sur","","Presentes"
"4","Mocion","Moción para incorporar al orden del día, nota de vecinos por seguridad vial","","Presentes"
"5","Sobre tabla","Tratamiento sobre tablas, reparación urgente de cañería de agua en Barrio Norte","","Presentes"
"6","Despacho","Convenio de cooperación con Universidad, pasantías y prácticas profesionales","","Presentes"
"7","Despacho","Designación de autoridades de comisiones, período legislativo en curso","","Presentes"
"8","Ratificacion","Ratificación de decreto ad referendum, compra de insumos para servicios públicos","1","Cuerpo"
"9","Despacho","Otorgamiento de becas deportivas municipales, convocatoria 2026","","Presentes"
"10","Despacho","Declaración de interés cultural, festival local de música y danza","","Presentes"
"11","Despacho","Autorización de obra, bacheo y repavimentación de avenida principal","","Presentes"
"12","Despacho","Readecuación presupuestaria, mantenimiento de escuelas y espacios comunitarios","0","Cuerpo"
"13","Mocion","Moción para solicitar audiencia pública, proyecto costero y uso de suelo","","Presentes"
"14","Despacho","Regulación de ferias artesanales, criterios de habilitación y ubicación","","Presentes"
"15","Despacho","Actualización del cuadro tarifario del transporte urbano, revisión semestral",".66","Cuerpo"
"16","Despacho","Programa municipal de reciclaje, puntos verdes y recolección diferenciada","","Presentes"
"17","Despacho","Adhesión a campaña de donación de sangre, coordinación con hospital","","Presentes"
"18","Ratificacion","Ratificación de contrato de alquiler, oficinas para atención ciudadana","1","Cuerpo"
"19","Despacho","Ordenanza de tenencia responsable de mascotas, registro y sanciones","","Presentes"
"20","Despacho","Excepción de uso de suelo, habilitación para comercio en zona residencial","0","Cuerpo"
"21","Despacho","Plan de arbolado urbano, reposición de especies y riego programado","","Presentes"
"22","Mocion","Moción para sesión especial, conflicto de transporte y medidas urgentes","","Presentes"
"23","Despacho","Habilitación simplificada para emprendedores, ventanilla única y plazos","","Presentes"
"24","Despacho","Convenio con cooperativa, recolección diferenciada y trazabilidad","","Presentes"
"25","Despacho","Declaración de emergencia habitacional, por 180 días","1","Cuerpo"
"26","Despacho","Creación de registro de proveedores locales, criterios y categorías","","Presentes"
"27","Sobre tabla","Ingreso de nota, centro de jubilados solicita subsidio y exención","","Presentes"
"28","Despacho","Regulación de cartelería comercial, zona centro y corredores urbanos","","Presentes"
"29","Despacho","Exención impositiva a instituciones deportivas, requisitos y control",".66","Cuerpo"
"30","Despacho","Pedido de informes, avance de obras de cloacas y conexiones domiciliarias","","Presentes"
"31","Despacho","Autorización de uso de espacio público, evento solidario y logística","","Presentes"
"32","Mocion","Moción para crear mesa de seguridad vial, participación ciudadana","","Presentes"
"33","Despacho","Programa de capacitación laboral juvenil, convenios y becas","","Presentes"
"34","Despacho","Reconocimiento a personal de salud, servicio destacado en temporada","","Presentes"
"35","Ratificacion","Ratificación de convenio provincial, asistencia técnica y financiamiento","1","Cuerpo"
"36","Despacho","Regulación de circulación de bicicletas, costanera y sendas seguras","","Presentes"
"37","Despacho","Ordenanza de control de ruidos molestos, nocturnidad y sanciones","","Presentes"
"38","Despacho","Creación de fondo de infraestructura barrial, asignación y rendición",".66","Cuerpo"
"39","Despacho","Pedido de informes, contrataciones de mantenimiento y proveedores","0","Cuerpo"
"40","Despacho","Modificación de zonificación, loteo social y servicios básicos","0","Cuerpo"
"41","Mocion","Moción para conformar comisión investigadora, servicio tercerizado","","Presentes"
"42","Despacho","Declaración de interés turístico, temporada de ballenas y promoción","","Presentes"
"43","Despacho","Obras de veredas accesibles, zona centro y rampas reglamentarias","","Presentes"
"44","Despacho","Régimen de beneficios, regularización de tasas y planes de pago",".66","Cuerpo"
"45","Sobre tabla","Tratamiento urgente, reclamo por falta de agua en Barrio Oeste","","Presentes"
"46","Despacho","Convenio con bomberos voluntarios, apoyo logístico y combustible","","Presentes"
"47","Despacho","Creación de consejo consultivo ambiental, representación y funciones","","Presentes"
"48","Ratificacion","Ratificación de compra directa, reparación de maquinaria vial","1","Cuerpo"
"49","Despacho","Actualización del reglamento interno del concejo, votaciones y plazos","1","Cuerpo"
"50","Despacho","Pedido de informes, semáforos y señalización urbana en cruces críticos","","Presentes"
"51","Despacho","Programa de apoyo a bibliotecas populares, equipamiento y talleres","","Presentes"
"52","Mocion","Moción para declarar de interés municipal, evento deportivo regional","","Presentes"
"53","Despacho","Registro de ONGs, convenios de colaboración y transparencia","","Presentes"
"54","Despacho","Permiso de uso, instalación de garitas y paradas de colectivos","","Presentes"
"55","Despacho","Plan integral de mantenimiento de plazas, juegos y luminarias","","Presentes"
