12:55:13 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
12:55:15 | L1 | SESION | Apertura de sesion
12:55:23 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: hnvb
12:56:00 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:44:48 | L1 | SESION | Apertura de sesion
13:53:28 | L1 | SESION | Apertura de sesion
13:53:37 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº9 con tema: o
13:53:43 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:53:44 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Abstencion
13:55:22 | L1 | SESION | Apertura de sesion
13:55:27 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
13:55:30 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Abstencion
13:55:30 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:55:32 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Abstencion
13:55:41 | L1 | VOTACION | Cierre forzado [<app.models.concejal.Concejal object at 0x0000026A89DA6D50>, <app.models.concejal.Concejal object at 0x0000026A89DA2E00>, <app.models.concejal.Concejal object at 0x0000026A89DA3350>, <app.models.concejal.Concejal object at 0x0000026A89DF2250>, <app.models.concejal.Concejal object at 0x0000026A89DF1E50>, <app.models.concejal.Concejal object at 0x0000026A89E74140>, <app.models.concejal.Concejal object at 0x0000026A89E74320>] sin votar
13:55:41 | L1 | SESION | Cierre de sesion
13:55:45 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
13:56:05 | L2 | VOTACION | Fallo apertura de votacion al no haber sesion activa
13:56:19 | L1 | SESION | Apertura de sesion
13:56:22 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
13:56:24 | L1 | VOTACION | Cierre forzado [<app.models.concejal.Concejal object at 0x0000026A89E635B0>, <app.models.concejal.Concejal object at 0x0000026A89E63D90>, <app.models.concejal.Concejal object at 0x0000026A89E1F930>, <app.models.concejal.Concejal object at 0x0000026A89E98050>, <app.models.concejal.Concejal object at 0x0000026A89E981D0>, <app.models.concejal.Concejal object at 0x0000026A89EDF540>, <app.models.concejal.Concejal object at 0x0000026A89EDF5F0>, <app.models.concejal.Concejal object at 0x0000026A89E28E10>, <app.models.concejal.Concejal object at 0x0000026A89E2B610>, <app.models.concejal.Concejal object at 0x0000026A89E3E450>, <app.models.concejal.Concejal object at 0x0000026A89EEEAD0>, <app.models.concejal.Concejal object at 0x0000026A89EEEB50>] sin votar
13:56:50 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
