13:34:47 | L2 | VOTACION | Fallo apertura de votacion al ya haber una votacion activa
13:34:57 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
13:35:02 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
13:35:05 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev01]
13:35:07 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev01]
13:35:57 | L2 | VOTACION | Fallo apertura de votacion al ya haber una votacion activa
13:36:46 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
13:36:47 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev02]
13:37:03 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
13:37:04 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
13:37:05 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
13:37:06 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
13:37:09 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
13:37:10 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
13:37:11 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev07]
13:37:11 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
13:37:13 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
13:37:14 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev10]
13:37:15 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
13:37:16 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
13:37:32 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
13:37:33 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
13:37:33 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev10]
13:37:34 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
13:37:35 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
13:37:36 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev07]
13:37:37 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
13:37:37 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
13:37:39 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
13:37:39 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
