13:27:01 | L3 | SESION | Cierre de sesion Nº93
13:27:03 | L3 | SESION | Apertura de sesion Nº98
13:32:56 | L3 | SESION | Apertura de sesion Nº83
13:33:21 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº9 con tema: hnvb
13:33:35 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:33:37 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Abstencion
13:33:38 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:33:39 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:33:47 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Abstencion
13:33:48 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:33:49 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
13:33:50 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
13:33:57 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
13:33:57 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
13:33:58 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
13:34:00 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:34:00 | L3 | VOTACION | Votacion Nº9 completada. Resultado: APROBADA - Votos: 12 de 12 - 8 Positivos, 1 Negativos y 3 Abstenciones
13:35:18 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº9 con tema: hnvb
14:01:22 | L3 | SESION | Apertura de sesion Nº93
14:01:30 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: hnvb
14:01:45 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
14:01:47 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Abstencion
14:01:48 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
14:01:49 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
14:01:50 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
14:01:51 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
14:01:51 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
14:01:52 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:01:53 | L3 | INPUT | Emma Stone (banca Nro:8) se AUSENTO
14:01:54 | L3 | INPUT | Emma Stone (banca Nro:8) se PRESENTO
14:01:56 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
14:01:57 | L3 | PALABRA | Emma Stone (banca Nro:8) retiro el pedido la palabra
