09:37:58 | L2 | SESION | Rechazo de apertura de sesion porque ya hay sesion abierta
09:38:04 | L3 | SESION | Cierre de sesion Nº93
09:38:07 | L3 | SESION | Apertura de sesion Nº683
09:38:14 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: gr
09:38:18 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev12]
09:38:18 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
09:38:18 | L2 | INPUT | Jennifer Lawrence (banca Nro:12) voto: Positivo
09:38:20 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev11]
09:38:20 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
09:38:20 | L2 | INPUT | Keanu Reeves (banca Nro:11) voto: Abstencion
09:38:21 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev06]
09:38:21 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Negativo
09:38:21 | L2 | INPUT | Meryl Streep (banca Nro:6) voto: Negativo
09:38:25 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev07]
09:38:25 | L3 | INPUT | Denzel Washington (banca Nro:7) se AUSENTO
09:38:28 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev09]
09:38:28 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
09:38:28 | L2 | INPUT | Brad Pitt (banca Nro:9) voto: Positivo
09:59:14 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Emma Stone (banca Nro:8), Cate Blanchett (banca Nro:10)]
09:59:14 | L3 | SESION | Cierre de sesion Nº683
09:59:18 | L3 | SESION | Apertura de sesion Nº369
09:59:58 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº29 con tema: Exención impositiva a instituciones deportivas, requisitos y control
10:00:05 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
10:00:05 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:00:05 | L2 | INPUT | Robert Downey Jr (banca Nro:1) voto: Positivo
10:00:07 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
10:00:07 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
10:00:07 | L2 | INPUT | Scarlett Johansson (banca Nro:2) voto: Positivo
10:00:07 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
10:00:07 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:00:07 | L2 | INPUT | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:00:08 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
10:00:08 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:00:08 | L2 | INPUT | Natalie Portman (banca Nro:4) voto: Positivo
10:00:09 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
10:00:09 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:00:09 | L2 | INPUT | Tom Hanks (banca Nro:5) voto: Positivo
10:00:10 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
10:00:10 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:00:10 | L2 | INPUT | Meryl Streep (banca Nro:6) voto: Positivo
10:00:12 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev07]
10:00:12 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
10:00:12 | L2 | INPUT | Denzel Washington (banca Nro:7) voto: Negativo
10:00:13 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
10:00:13 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
10:00:13 | L2 | INPUT | Emma Stone (banca Nro:8) voto: Negativo
10:00:15 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
10:00:15 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
10:00:15 | L2 | INPUT | Brad Pitt (banca Nro:9) voto: Negativo
10:00:15 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev10]
10:00:15 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
10:00:15 | L2 | INPUT | Cate Blanchett (banca Nro:10) voto: Negativo
10:00:16 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
10:00:16 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
10:00:16 | L2 | INPUT | Keanu Reeves (banca Nro:11) voto: Negativo
10:00:18 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
10:00:18 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
10:00:18 | L3 | VOTACION | Votacion Nº29 completada. Resultado: RECHAZADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:00:18 | L2 | INPUT | Jennifer Lawrence (banca Nro:12) voto: Negativo
10:00:30 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº31 con tema: Autorización de uso de espacio público, evento solidario y logística
10:00:33 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev09]
10:00:33 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:00:33 | L2 | INPUT | Brad Pitt (banca Nro:9) voto: Positivo
10:00:34 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev10]
